CPU;Mem_usada;Mem_asignada;Mem_max;CPU_max;Disco
0.001562;0.06787;0.07568;0.06787;0.03967;0.0003567
0.001568;0.06787;0.07556;0.06787;0.03302;0.0009289
0.0003071;0.08044;0.09521;0.08044;0.02377;0.0007858
0.0003004;0.08044;0.09521;0.08044;0.007919;0.002285
0.0004606;0.07715;0.0874;0.07715;0.005112;0.0002146
0.0005188;0.07678;0.0874;0.07678;0.01508;0.0009289
0.0003805;0.08118;0.08936;0.08118;0.01624;0.0006428
0.0003271;0.08057;0.08936;0.08069;0.01599;0.07153
0.002518;0.09106;0.1011;0.09106;0.02121;0.0002146
0.002705;0.09082;0.1001;0.09094;0.01489;0.0009995
0.002533;0.09094;0.1008;0.09106;0.02972;0.0003567
0.001171;0.08496;0.09521;0.08496;0.02145;0.0004997
0.00119;0.08472;0.09521;0.08484;0.02258;0.0004282
0.03418;0.08752;0.09839;0.08887;0.103;0.05786
0.03528;0.0874;0.099;0.08862;0.1229;0.02271
0.03644;0.08704;0.09912;0.08862;0.1141;0.03036
0.03845;0.08728;0.09912;0.0885;0.1082;0.02972
0.0379;0.08716;0.09912;0.08838;0.1155;0.004997
0.03406;0.08704;0.09912;0.08838;0.1353;0.01401
0.03699;0.08704;0.09912;0.0885;0.1348;0.0354
